patient_id,n_windows,pct_agreement,n_disagree,accept_rate_cal,accept_rate_uncal,mean_abs_prob_shift,max_abs_prob_shift,accept_rate_delta
Sub01_aligned_data_ecg,30960,100.0,0,0.7036175710594316,0.7036175710594316,0.022130846099742117,0.03700733184814453,0.0
Sub02_aligned_data_ecg,31159,100.0,0,0.6804775506274271,0.6804775506274271,0.01995718982299039,0.03700733184814453,0.0
Sub03_aligned_data_ecg,32493,100.0,0,0.7329578678484596,0.7329578678484596,0.022080545315806,0.03700733184814453,0.0
Sub04_aligned_data_ecg,32369,100.0,0,0.6789520837838673,0.6789520837838673,0.022518994085309555,0.03700739145278931,0.0
Sub05_aligned_data_ecg,29141,100.0,0,0.7153495075666586,0.7153495075666586,0.021586747975841456,0.03700733184814453,0.0
Sub06_aligned_data_ecg,32549,100.0,0,0.7119112722357062,0.7119112722357062,0.021467327909873903,0.03700733184814453,0.0
Sub07_aligned_data_ecg,31902,100.0,0,0.714594696257288,0.714594696257288,0.021636852649497162,0.03700739145278931,0.0
Sub08_aligned_data_ecg,36194,100.0,0,0.7035420235398132,0.7035420235398132,0.0220404404942993,0.03700739145278931,0.0
Sub09_aligned_data_ecg,35696,100.0,0,0.7647075302554908,0.7647075302554908,0.022762000353785432,0.03700739145278931,0.0
Sub10_aligned_data_ecg,32407,100.0,0,0.7654827660690592,0.7654827660690592,0.021282434172151938,0.03700739145278931,0.0
Sub11_aligned_data_ecg,31474,100.0,0,0.7251382093156256,0.7251382093156256,0.02140967573187244,0.03700739145278931,0.0
Sub12_aligned_data_ecg,36955,100.0,0,0.6928967663374375,0.6928967663374375,0.021206462220934603,0.03700733184814453,0.0
Sub13_aligned_data_ecg,35994,100.0,0,0.7027004500750125,0.7027004500750125,0.021313796125403302,0.03700739145278931,0.0
Sub14_aligned_data_ecg,37491,100.0,0,0.6900322744125257,0.6900322744125257,0.021050460295061253,0.03700733184814453,0.0
Sub15_aligned_data_ecg,35936,100.0,0,0.711570569902048,0.711570569902048,0.021429410528294984,0.03700733184814453,0.0
Sub16_aligned_data_ecg,37305,100.0,0,0.7137381048116874,0.7137381048116874,0.021797544845102653,0.03700733184814453,0.0
Sub17_aligned_data_ecg,36012,100.0,0,0.7461679440186605,0.7461679440186605,0.023299516583593215,0.03700739145278931,0.0
Sub18_aligned_data_ecg,37555,100.0,0,0.7256823325788843,0.7256823325788843,0.02080027186235525,0.03700733184814453,0.0
Sub19_aligned_data_ecg,38564,100.0,0,0.6743335753552536,0.6743335753552536,0.02075003602510781,0.03700739145278931,0.0
Sub20_aligned_data_ecg,49376,100.0,0,0.7782728451069345,0.7782728451069345,0.02248004895629253,0.03700733184814453,0.0
Sub21_aligned_data_ecg,48405,100.0,0,0.7226732775539717,0.7226732775539717,0.02194354625640237,0.03700739145278931,0.0
Sub22_aligned_data_ecg,26815,100.0,0,0.7276524333395488,0.7276524333395488,0.022391876163776966,0.03700739145278931,0.0
Sub23_aligned_data_ecg,36217,100.0,0,0.7162382306651572,0.7162382306651572,0.021609402784873152,0.03700739145278931,0.0
Sub24_aligned_data_ecg,36041,100.0,0,0.7200688105213506,0.7200688105213506,0.021693046640002312,0.03700733184814453,0.0
Sub25_aligned_data_ecg,36174,100.0,0,0.6338253994581744,0.6338253994581744,0.02085215456633108,0.03700739145278931,0.0
Sub26_aligned_data_ecg,38799,100.0,0,0.723858862341813,0.723858862341813,0.0213642912763719,0.03700733184814453,0.0
Sub27_aligned_data_ecg,38790,100.0,0,0.7251095643207012,0.7251095643207012,0.022141163107502335,0.03700733184814453,0.0
Sub28_aligned_data_ecg,38439,100.0,0,0.7051432139233591,0.7051432139233591,0.021489723705503255,0.03700733184814453,0.0
Sub29_aligned_data_ecg,44889,100.0,0,0.7205328699681437,0.7205328699681437,0.022220645981697987,0.03700733184814453,0.0
Sub30_aligned_data_ecg,46188,100.0,0,0.7290638261020178,0.7290638261020178,0.022214805705967882,0.03700733184814453,0.0
Sub31_aligned_data_ecg,49820,100.0,0,0.7601164191087917,0.7601164191087917,0.022838595463505102,0.03700739145278931,0.0
Sub32_aligned_data_ecg,49839,100.0,0,0.7131764280984771,0.7131764280984771,0.021281417946603615,0.03700739145278931,0.0
Sub33_aligned_data_ecg,46656,100.0,0,0.7031893004115226,0.7031893004115226,0.021527421813815836,0.03700739145278931,0.0
